,Season,Name,Team,G,PA,K%,O-Swing%,O-Contact%,Z-Swing%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,M-Swing%,Meat%,Edge%,Fair/Foul ratio
688,2017,Josh Reddick,HOU,134,540,0.133,0.28,0.756,0.648,0.914,0.425,0.548,0.063,0.246,0.782,0.073,0.412,1.189655172
689,2017,Hunter Pence,SFG,134,539,0.189,0.298,0.61,0.656,0.835,0.42,0.605,0.113,0.281,0.74,0.068,0.435,1.226708075
690,2016,Melvin Upton Jr,- - -,149,539,0.288,0.304,0.553,0.714,0.737,0.48,0.655,0.161,0.313,0.672,0.051,0.439,0.974212034
691,2021,Miguel Rojas,MIA,132,539,0.137,0.295,0.672,0.676,0.907,0.423,0.57,0.082,0.254,0.782,0.073,0.416,1.291411043
692,2019,Ryan McMahon,COL,141,539,0.297,0.292,0.545,0.767,0.783,0.428,0.627,0.147,0.267,0.882,0.069,0.431,0.6875
693,2021,Andrew Benintendi,KCR,134,538,0.18,0.346,0.718,0.745,0.843,0.439,0.6,0.106,0.236,0.877,0.08,0.429,0.888888889
694,2015,Daniel Murphy,NYM,130,538,0.071,0.335,0.835,0.715,0.975,0.417,0.572,0.039,0.188,0.703,0.063,0.418,1.194373402
695,2021,David Peralta,ARI,150,538,0.171,0.305,0.646,0.676,0.901,0.429,0.576,0.09,0.262,0.777,0.076,0.433,1.061497326
696,2021,J.T. Realmuto,PHI,134,537,0.24,0.331,0.661,0.723,0.814,0.418,0.622,0.122,0.267,0.794,0.079,0.429,0.806004619
697,2015,Odubel Herrera,PHI,147,537,0.24,0.348,0.614,0.678,0.867,0.426,0.629,0.116,0.28,0.77,0.059,0.417,0.800894855
698,2021,Tyler O'Neill,STL,138,537,0.313,0.321,0.514,0.751,0.773,0.411,0.609,0.162,0.309,0.823,0.071,0.418,0.841269841
699,2018,Nomar Mazara,TEX,128,536,0.216,0.335,0.643,0.641,0.852,0.414,0.567,0.109,0.283,0.715,0.063,0.423,0.956743003
700,2015,Anthony Gose,DET,140,535,0.271,0.297,0.546,0.713,0.855,0.445,0.622,0.121,0.257,0.739,0.068,0.444,0.720357942
701,2015,Ben Zobrist,- - -,126,535,0.105,0.226,0.809,0.554,0.928,0.43,0.548,0.042,0.266,0.675,0.065,0.435,1.442508711
702,2018,Brandon Nimmo,NYM,140,535,0.262,0.197,0.575,0.636,0.827,0.445,0.63,0.095,0.294,0.87,0.071,0.445,0.767810026
703,2015,Brian McCann,NYY,135,535,0.181,0.318,0.739,0.558,0.929,0.422,0.559,0.064,0.271,0.769,0.071,0.429,1
704,2018,Gregory Polanco,PIT,130,535,0.219,0.285,0.655,0.696,0.861,0.402,0.574,0.098,0.25,0.848,0.074,0.396,0.805555556
705,2021,Ian Happ,CHC,148,535,0.292,0.263,0.526,0.687,0.799,0.412,0.583,0.13,0.3,0.824,0.071,0.434,0.8046875
706,2018,Jackie Bradley Jr,BOS,144,535,0.256,0.278,0.574,0.714,0.791,0.439,0.615,0.132,0.28,0.88,0.07,0.43,0.860406091
708,2018,Rougned Odor,TEX,129,535,0.237,0.354,0.664,0.646,0.871,0.418,0.609,0.104,0.263,0.702,0.072,0.422,0.824257426
709,2016,Russell Martin,TOR,137,535,0.277,0.214,0.533,0.591,0.801,0.465,0.559,0.108,0.303,0.747,0.08,0.425,0.948328267
710,2017,Carlos Gonzalez,COL,136,534,0.223,0.342,0.524,0.723,0.826,0.411,0.549,0.147,0.268,0.69,0.067,0.414,1.098765432
711,2018,Ian Kinsler,- - -,128,534,0.12,0.271,0.787,0.683,0.938,0.443,0.575,0.051,0.233,0.774,0.076,0.447,1.026506024
712,2015,Troy Tulowitzki,- - -,128,534,0.213,0.297,0.684,0.637,0.85,0.456,0.579,0.094,0.278,0.74,0.074,0.42,0.992084433
