,Season,Name,Team,G,PA,H,H/PA,BABIP,LD%,GB%,FB%,IFFB%,SweetSpot%,Barrel%,HardHit%,,HR/FB,Barrel%*10,Pull%,Cent%,Oppo%
118,2016,Joey Votto,CIN,158,677,181,0.267355982,0.366,0.273,0.43,0.297,0,0.316,0.083,0.39,,0.22,0.83,0.369,0.354,0.277
119,2018,Matt Carpenter,STL,156,677,145,0.214180207,0.291,0.267,0.264,0.469,0.021,0.263,0.127,0.445,,0.191,1.27,0.483,0.293,0.224
120,2016,Ian Desmond,TEX,156,677,178,0.262924668,0.35,0.206,0.534,0.26,0.091,0.441,0.073,0.434,,0.182,0.73,0.312,0.38,0.308
121,2017,Evan Longoria,TBR,156,677,160,0.23633678,0.282,0.198,0.434,0.368,0.142,0.324,0.05,0.322,,0.105,0.5,0.428,0.32,0.252
122,2018,Eric Hosmer,SDP,157,677,155,0.228951256,0.302,0.199,0.604,0.197,0.097,0.284,0.055,0.373,,0.194,0.55,0.318,0.392,0.29
123,2021,Isiah Kiner-Falefa,TEX,158,677,172,0.254062038,0.304,0.201,0.537,0.261,0.049,0.405,0.018,0.286,,0.056,0.18,0.349,0.356,0.296
124,2016,Anthony Rizzo,CHC,155,676,170,0.25147929,0.309,0.203,0.384,0.413,0.086,0.296,0.088,0.364,,0.162,0.88,0.456,0.326,0.218
125,2015,Yoenis Cespedes,- - -,159,676,184,0.272189349,0.323,0.204,0.417,0.379,0.09,0.316,0.105,0.449,,0.186,1.05,0.437,0.348,0.215
126,2016,Kyle Seager,SEA,158,676,166,0.24556213,0.295,0.219,0.361,0.42,0.073,0.367,0.084,0.413,,0.146,0.84,0.401,0.316,0.283
127,2016,Wil Myers,SDP,157,676,155,0.229289941,0.305,0.214,0.447,0.339,0.06,0.363,0.07,0.392,,0.187,0.7,0.383,0.378,0.239
128,2019,Starlin Castro,MIA,162,676,172,0.25443787,0.293,0.191,0.479,0.33,0.085,0.324,0.054,0.376,,0.125,0.54,0.44,0.339,0.221
129,2017,Jose Abreu,CHW,156,675,189,0.28,0.33,0.182,0.453,0.364,0.071,0.357,0.085,0.457,,0.179,0.85,0.387,0.336,0.277
130,2021,Cedric Mullins II,BAL,159,675,175,0.259259259,0.322,0.199,0.39,0.411,0.124,0.342,0.081,0.391,,0.155,0.81,0.436,0.324,0.241
131,2017,Jonathan Schoop,BAL,160,675,182,0.26962963,0.33,0.209,0.419,0.372,0.16,0.353,0.068,0.361,,0.177,0.68,0.458,0.343,0.199
