,Season,Name,Team,G,PA,H,BABIP,LD%,GB%,FB%,IFFB%,SweetSpot%,Barrel%,HardHit%,Pull%,Cent%,Oppo%,Spd,LDFB_EV
792,2018,Evan Longoria,SFG,125,512,117,0.274,0.185,0.424,0.391,0.1,0.326,0.07,0.37,0.419,0.323,0.258,4.2,0.465
793,2021,Jed Lowrie,OAK,139,512,112,0.289,0.224,0.363,0.414,0.034,0.365,0.093,0.459,0.388,0.377,0.235,1.3,0.4705
794,2017,Yangervis Solarte,SDP,128,512,119,0.258,0.164,0.416,0.421,0.174,0.318,0.032,0.281,0.423,0.359,0.218,2.4,0.4465
795,2017,Byron Buxton,MIN,140,511,117,0.339,0.232,0.387,0.38,0.177,0.317,0.056,0.32,0.473,0.329,0.197,8.2,0.4635
796,2019,Danny Santana,TEX,130,511,134,0.353,0.247,0.402,0.351,0.061,0.378,0.088,0.435,0.421,0.32,0.259,7.6,0.4735
797,2019,Jason Kipnis,CLE,121,511,112,0.265,0.189,0.399,0.412,0.105,0.328,0.052,0.341,0.433,0.344,0.223,3.7,0.456
798,2021,Jose Iglesias,- - -,137,511,131,0.305,0.235,0.421,0.345,0.106,0.355,0.034,0.284,0.381,0.389,0.23,4.4,0.4445
799,2015,Logan Morrison,SEA,146,511,103,0.238,0.163,0.447,0.39,0.103,0.29,0.061,0.375,0.417,0.343,0.24,4.1,0.4615
800,2015,Michael A. Taylor,WSN,138,511,108,0.311,0.222,0.46,0.318,0.094,0.328,0.063,0.356,0.473,0.278,0.249,5.3,0.471
801,2015,Miguel Cabrera,DET,119,511,145,0.384,0.252,0.421,0.327,0.035,0.358,0.095,0.527,0.358,0.307,0.335,1.9,0.487
802,2021,Nick Solak,TEX,127,511,111,0.292,0.171,0.533,0.296,0.096,0.293,0.065,0.332,0.377,0.369,0.254,4.3,0.4645
803,2015,Stephen Vogt,OAK,136,511,116,0.29,0.219,0.376,0.404,0.049,0.337,0.045,0.301,0.43,0.337,0.233,2.7,0.451
804,2016,Cheslor Cuthbert,KCR,128,510,130,0.32,0.171,0.475,0.354,0.178,0.27,0.021,0.366,0.411,0.319,0.27,2.7,0.4585
805,2015,Francisco Cervelli,PIT,130,510,133,0.359,0.21,0.521,0.269,0.031,0.334,0.039,0.356,0.365,0.359,0.276,3.6,0.4635
806,2021,Jesus Aguilar,MIA,131,510,117,0.279,0.204,0.331,0.466,0.112,0.347,0.084,0.405,0.449,0.331,0.22,0.7,0.4625
807,2018,Kyle Schwarber,CHC,137,510,102,0.288,0.192,0.437,0.371,0.094,0.34,0.124,0.45,0.436,0.333,0.23,3.8,0.478
808,2019,Luke Voit,NYY,118,510,113,0.345,0.257,0.396,0.347,0.01,0.385,0.132,0.41,0.479,0.316,0.205,2,0.477
809,2015,Wilmer Flores,NYM,137,510,127,0.273,0.211,0.418,0.371,0.16,0.321,0.019,0.255,0.389,0.335,0.276,1.6,0.45
810,2015,Brock Holt,BOS,129,509,127,0.35,0.238,0.527,0.235,0.048,0.317,0.006,0.242,0.333,0.402,0.264,5.8,0.4435
811,2017,Carlos Beltran,HOU,129,509,108,0.263,0.164,0.431,0.404,0.087,0.294,0.04,0.31,0.477,0.31,0.213,1.8,0.4575
812,2019,Evan Longoria,SFG,129,508,115,0.291,0.217,0.41,0.373,0.047,0.358,0.066,0.408,0.393,0.399,0.208,3.6,0.466
813,2017,Javier Baez,CHC,145,508,128,0.345,0.154,0.486,0.36,0.094,0.282,0.078,0.351,0.399,0.381,0.219,5.3,0.47
814,2021,Michael Brantley,HOU,121,508,146,0.337,0.262,0.459,0.279,0.078,0.388,0.058,0.429,0.365,0.367,0.269,3.4,0.464
815,2019,Ryan Braun,MIL,144,508,131,0.325,0.192,0.504,0.304,0.083,0.333,0.086,0.443,0.412,0.342,0.246,5.4,0.478
816,2018,Victor Martinez,DET,133,508,117,0.26,0.245,0.394,0.361,0.098,0.351,0.042,0.304,0.428,0.32,0.252,0.5,0.454
817,2016,Zack Cozart,CIN,121,508,117,0.274,0.206,0.394,0.399,0.131,0.314,0.023,0.278,0.468,0.348,0.184,4.2,0.447
818,2019,Domingo Santana,SEA,121,507,114,0.347,0.266,0.426,0.308,0.011,0.401,0.12,0.405,0.394,0.346,0.26,3.9,0.4735
819,2021,Jazz Chisholm Jr.,MIA,124,507,115,0.319,0.204,0.486,0.31,0.081,0.287,0.086,0.417,0.401,0.321,0.278,7,0.4735
820,2017,Mike Trout,LAA,114,507,123,0.318,0.184,0.367,0.449,0.099,0.364,0.12,0.405,0.402,0.358,0.241,6.2,0.4715
821,2015,Russell Martin,TOR,129,507,106,0.262,0.164,0.506,0.33,0.189,0.268,0.074,0.394,0.382,0.359,0.259,4,0.4685
822,2017,Zack Cozart,CIN,122,507,130,0.312,0.195,0.382,0.423,0.117,0.357,0.044,0.288,0.489,0.346,0.165,5.3,0.4475
823,2016,Alex Gordon,KCR,128,506,98,0.288,0.242,0.379,0.379,0.053,0.352,0.081,0.369,0.446,0.329,0.225,5,0.463
824,2016,Alexei Ramirez,- - -,145,506,115,0.265,0.202,0.517,0.281,0.137,0.309,0.005,0.239,0.44,0.349,0.211,3.4,0.4345
825,2018,Matt Kemp,LAD,146,506,134,0.339,0.268,0.35,0.381,0.059,0.421,0.105,0.379,0.421,0.359,0.22,1.2,0.471
826,2018,Yangervis Solarte,TOR,122,506,106,0.233,0.208,0.426,0.366,0.192,0.3,0.038,0.32,0.415,0.345,0.24,1.8,0.4535
827,2021,Jonathan Villar,NYM,142,505,113,0.313,0.207,0.486,0.307,0.092,0.299,0.071,0.349,0.41,0.306,0.284,4.9,0.466
828,2015,Pablo Sandoval,BOS,126,505,115,0.27,0.188,0.489,0.323,0.132,0.287,0.045,0.333,0.308,0.395,0.298,1.6,0.459
829,2018,Carlos Gonzalez,COL,132,504,128,0.332,0.162,0.479,0.359,0.119,0.297,0.059,0.391,0.34,0.394,0.266,5,0.461
830,2019,Eloy Jimenez,CHW,122,504,125,0.308,0.182,0.479,0.339,0.079,0.324,0.122,0.479,0.432,0.336,0.232,2.4,0.483
831,2015,Wilson Ramos,WSN,128,504,109,0.256,0.196,0.555,0.249,0.063,0.301,0.058,0.445,0.359,0.374,0.267,0.9,0.48
832,2015,Chris Coghlan,CHC,148,503,110,0.284,0.201,0.458,0.341,0.06,0.328,0.046,0.333,0.422,0.316,0.261,6.1,0.4595
833,2019,Colin Moran,PIT,149,503,129,0.341,0.241,0.438,0.321,0.097,0.371,0.065,0.343,0.428,0.346,0.227,1.6,0.4665
834,2017,David Freese,PIT,130,503,112,0.336,0.204,0.57,0.226,0.042,0.312,0.054,0.427,0.258,0.433,0.309,1,0.47
835,2016,Mitch Moreland,TEX,147,503,107,0.266,0.211,0.415,0.374,0.109,0.336,0.096,0.395,0.447,0.342,0.211,1.7,0.4745
836,2015,Ryan Howard,PHI,129,503,107,0.272,0.277,0.355,0.367,0.008,0.425,0.111,0.45,0.476,0.334,0.19,1.7,0.476
837,2018,Yadier Molina,STL,123,503,120,0.264,0.241,0.389,0.369,0.075,0.376,0.053,0.336,0.496,0.293,0.211,2.5,0.4615
838,2018,Eduardo Nunez,BOS,127,502,127,0.29,0.186,0.49,0.324,0.187,0.272,0.027,0.357,0.328,0.376,0.296,4.8,0.452
839,2015,Johnny Giavotella,LAA,129,502,123,0.301,0.237,0.458,0.305,0.099,0.301,0.01,0.196,0.367,0.386,0.247,3.9,0.44
840,2018,Denard Span,- - -,137,501,114,0.291,0.265,0.401,0.334,0.1,0.367,0.027,0.296,0.384,0.307,0.31,5.9,0.4465
841,2015,Jacoby Ellsbury,NYY,111,501,116,0.301,0.241,0.453,0.306,0.106,0.332,0.029,0.287,0.378,0.351,0.27,5.7,0.4395
842,2021,Joey Wendle,TBR,136,501,122,0.327,0.207,0.494,0.299,0.048,0.306,0.043,0.349,0.366,0.354,0.28,5.6,0.459
843,2018,Jonathan Schoop,- - -,131,501,110,0.261,0.183,0.452,0.366,0.197,0.309,0.041,0.306,0.433,0.35,0.218,3,0.45
844,2018,Justin Bour,- - -,141,501,96,0.27,0.19,0.447,0.363,0.165,0.334,0.103,0.387,0.417,0.364,0.219,2.4,0.478
845,2021,Will Smith,LAD,130,501,107,0.274,0.222,0.315,0.463,0.047,0.38,0.108,0.438,0.373,0.386,0.241,4.1,0.469
846,2017,Danny Valencia,SEA,130,500,115,0.312,0.211,0.479,0.31,0.144,0.315,0.051,0.372,0.378,0.375,0.247,3.3,0.464
847,2019,Justin Smoak,TOR,121,500,86,0.223,0.207,0.366,0.427,0.068,0.375,0.11,0.398,0.479,0.35,0.172,0.9,0.4685
848,2019,Scott Kingery,PHI,126,500,118,0.337,0.262,0.339,0.399,0.128,0.392,0.073,0.389,0.471,0.325,0.204,6.4,0.4675
849,2021,Wil Myers,SDP,146,500,113,0.333,0.177,0.448,0.375,0.08,0.315,0.075,0.377,0.433,0.367,0.2,3.9,0.463
850,2015,Adeiny Hechavarria,MIA,130,499,132,0.325,0.203,0.51,0.286,0.082,0.313,0.01,0.308,0.303,0.386,0.311,5.3,0.451
851,2016,Brandon Drury,ARI,134,499,130,0.327,0.203,0.501,0.296,0.102,0.315,0.06,0.367,0.458,0.321,0.222,2.4,0.464
852,2019,C.J. Cron,MIN,125,499,116,0.277,0.215,0.422,0.363,0.078,0.34,0.142,0.448,0.416,0.346,0.238,0.9,0.481
853,2017,Eduardo Escobar,MIN,129,499,116,0.279,0.21,0.337,0.453,0.073,0.372,0.074,0.309,0.41,0.331,0.259,5.1,0.453
